,Date,News
377,2017-06-06,CSE to include non‐voting shares in index market cap calculation
378,2017-05-24,"Interview: E-commerce shakes up Sri Lanka’s retail sector, says Takas CEO"
379,2017-05-15,"Central Bank clarifies reports on EPF, assistant governor transfers"
380,2017-05-08,Moody’s assigns B1 rating to Sri Lanka’s global bond offering
381,2017-05-08,Sri Lanka foreign reserves down by USD74mn in April
382,2017-05-05,Sri Lanka raises USD1.5 bil in international sovereign bond
383,2017-05-04,Ray Abeywardena appointed as new chairman at CSE
384,2017-04-24,"GAAM: Market up 2.1 pct for week, foreign buying in JKH"
385,2017-04-24,"Sri Lanka stocks get Rs14.3 bln foreign inflow, ASPI +4.9 pct in 2017"
386,2017-04-19,Sri Lanka foreign reserves fall to 7-year low in March
387,2017-04-04,"GAAM: Sri Lanka stocks up 1.1 pct for week, Rs1.8 bln inflow"
388,2017-04-03,Sri Lanka Dec quarter listed company earnings +5 pct: First Capital
389,2017-04-03,Sri Lanka’s Merchant Bank to raise Rs2bn in listed debenture
390,2017-04-03,Japanese firm buys 11-pct of Sri Lanka’s Sunshine Holdings
391,2017-03-28,CB to start disciplinary action on EPF investments in securities
392,2017-03-27,GAAM: Current Sri Lanka equity valuations attractive
393,2017-03-23,Sri Lanka govt approves Securities Exchange Commission bill
394,2017-03-21,Sri Lanka investor forum garners interest in Australia
395,2017-03-20,Sri Lanka SEC releases its Capital Market Strategy 2020
396,2017-03-16,Sri Lanka CSE woos investors from Australia and New Zealand
397,2017-03-13,US likely to hike rates by 25 bp this week
398,2017-03-10,Sri Lanka foreign reserves up by USD165mn in February
399,2017-03-10,Sri Lanka’s CSE approves RIL Property’s Rs960mn IPO
400,2017-03-09,COPE should inquire transactions of Templeton fund in Sri Lanka: Harsha
401,2017-03-06,Sri Lanka SEC approves All or None blocks in trading of stocks
402,2017-03-02,Norwegian Pension Fund doubles its investment in Sri Lanka
403,2017-03-01,Domestic exchanges to gain with effort towards integration: SAFE
404,2017-02-28,Sri Lanka’s Vidullanka to issue shares for Uganda mini-hydro
405,2017-02-23,Sri Lanka to make govt securities Euroclearable
406,2017-02-23,Govt approves USD 75mn loan from WB for financial sector
407,2017-02-22,Sri Lanka’s BPPL Holdings latest entrant to CSE with IPO
408,2017-02-22,Sri Lanka’s capital gains tax will be nightmare to implement: Abeysuriya
409,2017-02-20,Sri Lanka Central Bank launches data library for public use
410,2017-02-20,"Asia shares adrift for US holiday, focus on Unilever"
411,2017-02-16,Asian stocks at 1-1/2 year highs on robust Wall St; dollar retreats
412,2017-02-14,South Asian stock exchange officials to meet in Colombo
413,2017-02-14,"Asia shares notch 19-month highs, dollar firm"
414,2017-02-13,"Yen slips after Trump-Abe meet, Asian shares firm"
415,2017-02-08,Nikkei edges down in choppy trade; glass sector outperforms
416,2017-02-07,"Asia stocks, euro slide as economic, political uncertainty hits"
417,2017-02-06,"Asia shares lag Wall St gains, dollar becalmed"
418,2017-02-03,"Asian stocks shaky ahead of U.S. jobs data, China markets"
419,2017-02-01,Dollar caught in crossfire as Trump talks currency wars
420,2017-01-31,Sri Lankan rupee steady; under pressure to depreciate
421,2017-01-31,"Asian shares rattled by Trump travel curb orders, dollar soft"
422,2017-01-30,Sri Lankan rupee weaker on banks’ dollar buying; stocks up
423,2017-01-30,"Asia shares, S&P futures fall as Trump travel ban, weak GDP adds to U.S. worries"
424,2017-01-26,Sri Lankan rupee steady in dull trade; stocks rise
425,2017-01-26,"Asia rises after Dow tops 20,000 for first time, dollar on defensive"
426,2017-01-24,Sri Lankan shares hit near 10-mth closing low
427,2017-01-24,Sri Lankan rupee eases on importer dollar demand
428,2017-01-24,Dollar falls further in Asia amid trade jitters
429,2017-01-23,Central Bank says internal & external probe on 2015/16 EPF operations
430,2017-01-23,Sri Lankan rupee down on importer dollar demand
431,2017-01-23,"Dollar slips, Asian shares defensive after Trump’s protectionist address"
432,2017-01-23,Sri Lanka President to appoint committee to investigate bond scam
433,2017-01-20,Sri Lankan shares end higher on foreign buying
434,2017-01-19,Sri Lankan rupee falls on importer dollar demand
435,2017-01-18,Sri Lankan rupee weaker on foreign bank dollar demand
436,2017-01-18,Sterling basks in glow of May’s Brexit speech; stocks slip
437,2017-01-17,Sri Lankan shares end lower; heavyweights down
438,2017-01-17,Sri Lankan rupee marginally higher on banks’ dollar sales
439,2017-01-17,"Asia stocks and pound weak, brace for May’s speech on Brexit stance"
440,2017-01-16,Sri Lankan shares end lower on rising rates
441,2017-01-16,Sri Lankan rupee edges up on dollar sales; stx down
442,2017-01-13,Sri Lankan shares end at 2-wk high on proposed EU trade concession
443,2017-01-13,"Asian shares wobble, dollar on track for losing week"
444,2017-01-10,Sri Lankan shares end marginally lower; T-bill yields hit 4-mth high
445,2017-01-10,"Stocks shaky as oil slump, ‘hard’ Brexit fears dim mood"
446,2017-01-09,Sri Lankan shares end flat as policy uncertainty continues to weigh
447,2017-01-09,Sri Lankan rupee steady; downward pressure prevails
448,2017-01-06,"Sri Lankan shares rise on bargain hunting, snap 5-day losing streak"
449,2017-01-06,"Sri Lankan rupee falls on dollar demand from foreign banks, importers"
450,2017-01-05,Sri Lankan rupee weaker; moral suasion caps fall
451,2017-01-05,Asian markets and oil up following Wall Street gains
452,2017-01-04,Sri Lanka shares end near 9-mth low; foreign selling in Keells weighs
453,2017-01-04,Sri Lankan rupee little changed; comments by c.bank chief weigh
454,2017-01-03,Sri Lanka Foreign Reserves increase to USD6 Bln in 2016: CB
455,2017-01-03,Sri Lankan rupee edges down ahead of cenbank policy statement; stx fall
456,2017-01-02,Sri Lankan shares fall as John Keells Holdings draws selling
457,2017-01-02,China steps up scrutiny on individual forex purchases in the new year
458,2016-12-30,"Sri Lankan shares fall about 10 pct in 2016; directions on rupee, rates awaited"
459,2016-12-30,"Market Watch: Eyes on policy decision, liquidity in surplus (Updated)"
460,2016-12-30,Sri Lankan rupee falls ahead of c.bank decision on policy rates
461,2016-12-30,Sri Lanka’s share of Chinese FDI going into Asia low: policy paper
462,2016-12-29,Sri Lankan shares hit more than 1-wk closing high; PABC boosts turnover
463,2016-12-29,Sri Lankan rupee ends steady amid moral suasion
464,2016-12-29,Sri Lanka Melstacorp share trading commences from tomorrow
465,2016-12-28,Central Bank invites proposals for USD1bn 3-year foreign financing facility
466,2016-12-28,Sri Lankan shares rise nearly 0.5 pct in high turnover
467,2016-12-28,Sri Lanka Central Bank most likely to keep rates steady: POLL
468,2016-12-28,Sri Lankan rupee falls on dollar demand; c.bank raises spot reference rate
469,2016-12-27,Sri Lankan shares hit more than 8-mth closing low; turnover slumps
470,2016-12-27,Sri Lankan rupee falls on light dollar demand
471,2016-12-23,Sri Lankan shares rise after eight sessions of falls in thin trade
472,2016-12-23,Sri Lankan rupee ends firmer on dollar selling by state bank
473,2016-12-23,"Asia stocks pressured by Wall Street, dollar holds below 14-yr peak"
474,2016-12-22,"Market Watch: Central Bank tightens stance, sovereign yield rises"
475,2016-12-22,Sri Lankan rupee falls on importer dollar demand
476,2016-12-19,Asia stocks find relief as China set to return seized US drone
477,2016-12-16,Sri Lankan shares hit more than 2-wk closing low led by banks
478,2016-12-16,Sri Lankan rupee closes steady; state-controlled bank sells dollars
479,2016-12-15,Teejay Lanka replaces Ceylinco Insurance in new S&P SL20 rebalance
480,2016-12-15,Sri Lankan shares hit more than 2-wk closing low; Fed rate hike weighs
481,2016-12-15,"Hong Kong, China stocks fall after Fed rate hike"
482,2016-12-08,Sri Lanka shares gain on foreign buying; Thai Group’s deal lifts mood
483,2016-12-06,Thailand to launch stock exchange for startups
484,2016-12-06,Asia stocks bounce as risk appetite returns after Italy vote
485,2016-12-05,"Sri Lanka *market update* ASPI close up 0.7-pct, T/over crosses Rs.1bn"
486,2016-12-05,Asia stock funds see pockets of value after Trump sell-off
487,2016-12-01,Sri Lankan rupee eases on importer dollar demand; stx up
488,2016-12-01,"Oil, dollar and bond yields sharply higher after OPEC deal"
489,2016-12-01,Asia flat following a weaker Wall Street as Treasury yields hit 16-mth high
490,2016-11-30,Sri Lankan rupee edges up on exporter dollar sales; stx up
491,2016-11-30,Asia stocks edge up on U.S. growth data cues; dollar steady
492,2016-11-28,"Asian markets mixed, December rate hike eyed"
493,2016-11-28,"Dollar steadies with bonds, oil anxious about OPEC"
494,2016-11-25,Sri Lanka shares end little changed; turnover slumps
495,2016-11-25,"Asian stocks pull ahead as dollar edges back, US yields resume climb"
496,2016-11-24,Sri Lankan rupee steady as exporter dollar sales offset importer demand
497,2016-11-24,CSE to halt for one hour for disaster recovery test
498,2016-11-24,Dollar firms after upbeat U.S. data raises rate hike expectations
499,2016-11-23,Sri Lankan rupee edges down on importer dollar demand; stocks up
500,2016-11-23,"Asia stocks share some Wall St joy, US yields a burden"
501,2016-11-22,Sri Lankan rupee weaker on importer dollar demand; stocks down
502,2016-11-22,"Asian stocks ride Wall St rally, oil extends gains"
503,2016-11-21,Sri Lankan rupee falls; IMF loan caps losses
504,2016-11-21,"Asian shares on the defensive as U.S. yields, dollar rise"
505,2016-11-18,Sri Lankan rupee edges down on capital outflow fears
506,2016-11-18,"Dollar soars on U.S. yield gains,Asian shares wobbly"
507,2016-11-17,SEC eases minimum public float rule; 6-month grace period to comply
508,2016-11-17,"Dollar edges away from 13-year peak, Asian stocks slip"
509,2016-11-16,Sri Lankan rupee falls on capital outflow fears; stocks weaker
510,2016-11-16,Asia shares win reprieve as bond rout pauses for now
511,2016-11-15,Sri Lankan rupee eases on importer dlr demand
512,2016-11-15,Asia stocks under pressure as dollar hovers near 14-year high
513,2016-11-11,Sri Lanka foreign reserves drop by USD395mn in Oct: Central Bank
514,2016-11-11,Sri Lanka to introduce new law protecting foreign reserves
515,2016-11-11,Sri Lankan rupee weaker as regional currencies drop
516,2016-11-11,"Asian shares dip, soaring US bond yields rattle emerging markets"
517,2016-11-10,U.S. markets rally after fears over Trump
518,2016-11-09,Dollar spooked in Asia as US polls too close to call
519,2016-11-08,Sri Lankan rupee firmer on exporter dollar sales; stocks down
520,2016-11-08,GAAM: Net inflow of Rs534 mln for the week
521,2016-11-08,"Asian shares, dollar, ride high on Clinton’s chances"
522,2016-11-04,Sri Lankan rupee firmer on exporter dlr sales; stocks edge lower
523,2016-11-04,"Asian shares slip, dollar nurses losses as US election looms"
524,2016-11-03,Sri Lankan rupee falls on importer dollar demand; stocks firm
525,2016-11-02,Sri Lankan rupee weaker on importer dollar demand
526,2016-11-02,Monetary policy could still be considered accomodative: Central Bank
527,2016-11-02,"Asian shares, dollar rattled by U.S. election uncertainty"
528,2016-11-02,"Asia stocks, dollar wrestle with US political risk"
529,2016-11-01,Sri Lankan shares hit fresh 3-mth closing low ahead of budget
530,2016-11-01,Sri Lankan rupee ends weaker on importer dollar demand
531,2016-11-01,"Asia stocks wallow at 6-wk lows, China PMIs in focus; oil down"
532,2016-10-31,Sri Lanka Central Bank keeps rates steady ahead of budget
533,2016-10-31,Sri Lankan rupee weaker; remittances prevent steeper fall
534,2016-10-31,Asia stocks stutter as FBI probe of Clinton jolts markets
535,2016-10-28,Sri Lankan rupee weaker; central bank’s moral suasion caps fall
536,2016-10-27,Sri Lankan rupee weaker; moral suasion caps fall
537,2016-10-27,Sri Lanka cabinet approves capital market strategy 2016-2020
538,2016-10-26,GAAM: Net foreign inflow of Rs518 mln for week
539,2016-10-26,"Asia stocks slide after Wall Street losses, oil drops on glut concerns"
540,2016-10-26,"Asia shares slip after Apple results weigh, dollar off highs"
541,2016-10-25,Sri Lankan rupee weaker on importer dollar demand; stocks up
542,2016-10-25,"Asia shares track Wall St higher, US dlr firm"
543,2016-10-24,Sri Lanka rupee down on importer dollar demand
544,2016-10-24,"Asian stocks subdued, dollar hovers near 9-month high"
545,2016-10-21,Sri Lankan rupee steady; importer demand offsets exporter dollar sales
546,2016-10-21,Asia stocks slip as stronger dollar weighs on crude oil prices
547,2016-10-20,"Asian stocks ride US momentum, oil near 15-month high"
548,2016-10-19,Asian shares manage muted cheer for China growth
549,2016-10-18,Asian stocks lifted by firmer oil prices; dollar steady
550,2016-10-17,Sri Lankan rupee steady for third session; stocks down
551,2016-10-14,Sri Lankan rupee steady; importer dollar demand offsets exporter sales
552,2016-10-14,"Asia stocks, dollar edge up on China inflation data relief"
553,2016-10-13,Sri Lankan rupee steady; exporter dollar sales offset bank buying
554,2016-10-13,Asia stocks weak with Dec rate hike still on cards
555,2016-10-12,Sri Lankan rupee edges up on exporter dollar sales; shares down
556,2016-10-12,"Asia shares slip as US earnings disappoint, dollar gains"
557,2016-10-11,Sri Lankan rupee edges up on dollar selling by exporters
558,2016-10-10,Sri Lanka’s Central Bank says leaked report on Perpetual not final
559,2016-10-10,Sri Lankan rupee down on seasonal imports; seen under pressure
560,2016-10-10,"Asia shares gain, Mexican peso jumps as markets lengthen odds on Trump"
561,2016-10-09,Sri Lanka foreign reserves drops USD154mn in Sept: Central Bank
562,2016-10-06,Sri Lankan rupee falls slightly on importer dollar demand
563,2016-10-06,Asian shares firm after U.S. service sector rebounds
564,2016-10-05,Sri Lankan rupee edges down on importer dollar demand
565,2016-10-04,"Asian shares wobble, dollar firms after upbeat US data"
566,2016-10-03,Sri Lankan shares hit 5-week high; rupee edges up
567,2016-10-03,"Asia stocks start Q4 with gains, sterling stumbles"
568,2016-09-30,Sri Lankan rupee edges up as tight liquidity prompts dollar sales
569,2016-09-30,"Asia stocks slip as Deutsche sours mood, Brent USD49.24 on OPEC pact"
570,2016-09-29,Sri Lankan rupee edge down ahead of bond auction
571,2016-09-29,Asia stocks gains as crude oil surges after OPEC deal
572,2016-09-28,"Asia stocks inch up after Wall Street’s gains, oil prices slide"
573,2016-09-27,Sri Lankan rupee weaker on importer dollar demand
574,2016-09-27,"Asia stocks slip, yen gains on U.S. debate jitters"
575,2016-09-26,"POLL: CB to stand pat this wk, assessing impact of previous hikes"
576,2016-09-26,Fund flows into emerging markets at three-year high
577,2016-09-26,"Asian shares slip, U.S. presidential debate awaited"
578,2016-09-23,Sri Lankan shares up for third straight session on blue chips
579,2016-09-23,Asian stocks hold near 14-month peak on Fed relief
580,2016-09-22,"Asian shares surge, dollar lags on slow-motion Fed"
581,2016-09-21,Sri Lankan rupee down on importer dollar demand; forwards active
582,2016-09-21,"Asia stocks pull ahead, investors on edge before BOJ verdict"
583,2016-09-20,Sri Lankan rupee edges up on state bank dollar sales
584,2016-09-20,GAAM: Foreign inflow of Rs484 mln into stocks for week
585,2016-09-20,"Interview: Sri Lanka stock earnings +6 pct in June quarter, valuations improve"
586,2016-09-20,"Asia stocks waver as investors nervously await Fed, BOJ"
587,2016-09-19,Central Bank to introduce repo transactions on electronic platform
588,2016-09-19,Textured Jersey executives meet investment funds in U.S.
589,2016-09-19,"Asia stocks hold central bank vigil, oil bounces"
590,2016-09-15,"Stocks waver as policy uncertainty, weaker oil sap confidence"
591,2016-09-14,Sri Lankan rupee weaker on importer dollar demand
592,2016-09-14,Axiata Group looks to trim stakes in overseas operations
593,2016-09-14,Asian stocks fall to 6-week lows as bond rout intensifies
594,2016-09-13,Sri Lankan rupee trades weaker on importer dollar demand; stocks rise
595,2016-09-13,GAAM: Weekly foreign inflow of Rs186 mln into stocks
596,2016-09-13,"Asia stocks rise, dollar sags after Fed official’s dovish comments"
597,2016-09-12,Sri Lanka foreign reserves up USD125mn in August: Central Bank
598,2016-09-09,Sri Lankan rupee weaker on importer demand
599,2016-09-09,Sri Lanka to adopt chip card system before end 2017: Central Bank
600,2016-09-09,"Asian shares slip after ECB disappointment, oil jumps"
601,2016-09-09,"Asia shares, bonds spooked by central bank risks"
602,2016-09-08,Sri Lankan rupee steady; exporter dlr sales offset importer demand
603,2016-09-08,"Asia shares near 1-year top, await China trade data, ECB"
604,2016-09-07,Sri Lanka seeks USD250mn ADB assistance to develop capital markets
605,2016-09-07,Asia stocks at 1-year high as soft US data quells Fed hike talk
606,2016-09-06,Mobitel to make Rs732 mln voluntary offer for E-Channelling
607,2016-09-06,Asian shares edge up as investors await RBA
608,2016-09-05,GAAM: Rs945 mln foreign inflow into stocks last week
609,2016-09-05,Sri Lankan rupee edges up as dollar sales surpass importer demand
610,2016-09-02,CDS celebrates 25 years in Sri Lankan capital market
611,2016-09-02,"Sri Lankan rupee steady, remittances offset importer dlr demand"
612,2016-09-01,Sri Lankan rupee firmer on bank dollar sales; stocks edge up
613,2016-08-31,"Asian shares ease, taking cue from Wall Street, oil slips"
614,2016-08-30,Sri Lankan rupee steady ahead of cenbank policy rate meeting
615,2016-08-30,GAAM: Net foreign outflow of Rs656 mln last week
616,2016-08-30,"Asia stocks bounce, dollar dips on Fed hike doubts"
617,2016-08-29,"Most Asia stocks slide on Fed officials’ rate comments, dollar firms"
618,2016-08-26,Sri Lankan rupee stronger on foreign bank dollar sales
619,2016-08-26,"Asia stocks tentative, dollar slips before Yellen’s rates signal"
620,2016-08-25,Sri Lankan rupee down on importer dollar demand
621,2016-08-24,"Asia stocks cement gains after recent rally, oil slips"
622,2016-08-23,Sri Lankan rupee trades steady; dollar selling by foreign investors eases pressure
623,2016-08-23,"GAAM: Market rallied 1.2 pct last week, Rs50 mln foreign inflow"
624,2016-08-23,"Asia stocks edge up, dollar dips as markets await Fed clues"
625,2016-08-19,Sri Lankan rupee steady; importer demand offsets exporter dollar sales
626,2016-08-19,"Correction: Fitch downgrades NDB, affirms 8 banks, revises outlook on DFCC, Sampath"
627,2016-08-19,More Sri Lanka IPOs to come by end 2016: CSE official
628,2016-08-19,"Asia rides Wall St higher, buoyant crude nears 6-week highs"
629,2016-08-18,"Asia stocks rise, dollar falls as Fed minutes cool rate hike views"
630,2016-08-16,GAAM: Foreign inflow of Rs535 Mln for the week
631,2016-08-16,"Asian shares hits 1-year high, oil supported"
632,2016-08-12,Sri Lanka rupee steady; exporter dlr sales offset by importer demand
633,2016-08-11,Sri Lanka expects USD671mn BOP surplus for 2016: Finance Minister
634,2016-08-11,"Wall Street dip halts Asian shares’ rising streak, oil slips"
635,2016-08-10,Sri Lankan rupee trades steady on state bank dollar buying
636,2016-08-10,"Asian shares near 1-year high, dollar slips after soft U.S. data"
637,2016-08-09,GAAM: Foreign inflow of Rs797 mln into Sri Lanka stocks last week
638,2016-08-09,Sri Lankan rupee trades steady; stocks little changed
639,2016-08-09,Deutsche Bank Sec. fined USD12.5 mln for inadequate communication supervision
640,2016-08-09,"Asia shares up as yield hunt drives record flows, pound slips"
641,2016-08-08,"Norges wealth fund increases stake in Dialog, EPF reduces"
642,2016-08-06,Sri Lanka foreign reserves at USD6.5bn by end July: Central Bank
643,2016-08-05,Sri Lankan shares rise as investors pick blue chips; rupee steady
644,2016-08-05,Colombo Stock Exchange offers online services through CDS e-connect
645,2016-08-05,"Asia gains on BoE easing boon, key US jobs data awaited"
646,2016-08-04,Sri Lankan rupee up on bond buying by foreigners; spot starts trading
647,2016-08-04,JB Vantage wins Sri Lanka CFA’s top Unit Trust award
648,2016-08-04,"BoE rate call looms, Asian shares firm as oil rebounds for now"
649,2016-08-02,"Asian shares subdued, RBA rate decision awaited"
650,2016-08-01,GAAM: Foreign inflow of Rs207 mln to CSE during week
651,2016-08-01,Sri Lanka has demand for higher yielding financial instruments: Nandalal
652,2016-08-01,Sri Lankan rupee steady in dull trade; bond holders book profit
653,2016-07-29,"Asian shares flat, yen hits 2-week high ahead of BOJ"
654,2016-07-28,Sri Lanka’s Central Bank increases policy rates by 50bps
655,2016-07-28,Sri Lanka rupee up on bank dlr sales; c.bank rate decision eyed
656,2016-07-27,Sri Lankan rupee edges down on importer dollar demand
657,2016-07-27,"Asian shares edge up on Wall Street lead, pre-Fed nerves limit gains"
658,2016-07-26,POLL: Sri Lanka Central Bank expected to keep policy rates steady
659,2016-07-26,Sri Lankan rupee steady; exporter dollar sales offset importer demand
660,2016-07-25,Sri Lankan rupee edges up on bank dollar sales; stocks slip
661,2016-07-23,Sri Lanka Mackwoods Chairman responds to SEC’s directive
662,2016-07-22,Sri Lankan rupee gains on dollar selling by state bank; stocks up
663,2016-07-22,U.S. investors prefer real estate and cash to stocks: survey
664,2016-07-22,Sri Lanka’s Amana Takaful Life Rs75 Mln IPO oversubscribed
665,2016-07-21,Sri Lanka consumer prices NCPI soars 6.4-pct in June
666,2016-07-21,Sri Lankan rupee edges up on dollar sales by state bank
667,2016-07-20,SEC blocks sale of Agalawatte Plantation shares in directive
668,2016-07-20,Sri Lankan rupee falls on importer dollar demand; stocks up
669,2016-07-13,Sri Lankan rupee firms on dollar selling by foreign bank; stocks rise
670,2016-07-12,"Sri Lanka’s sovereign bond orders hit USD5.5 bln, govt raises USD1.5 bln (Updated)"
671,2016-07-11,Sri Lanka’s sovereign bond orders top USD4.5 bln: source
672,2016-07-11,"Asia stocks rally on US jobs relief, BoE looms"
673,2016-07-08,"Asia stocks steady, look to US jobs to soothe Brexit anxiety"
674,2016-07-07,"Asia stocks bounce, upbeat U.S. data soothes nerves"
675,2016-07-05,Asian shares slide as investors ponder stimulus outlook
676,2016-07-05,"Asia shares fall, bonds surge as Brexit fears resurface"
677,2016-07-04,"Asian stocks recoup losses, Aussie wobbles on uncertain election"
678,2016-07-01,Sri Lanka faces huge debt service requirements by July & Sept
679,2016-07-01,"Asia stocks rise as risk appetite recovers, pound under fresh pressure"
680,2016-06-30,"FTSE recovers Brexit losses, Brent crude down 1.2-pct"
681,2016-06-28,Sri Lanka’s Amana Takaful Life announces IPO of Rs75Mn
682,2016-06-28,"Brexit vote, UK political confusion keep world and asian markets on edge"
683,2016-06-24,Sri Lanka’s Central Bank keeps policy rates steady
684,2016-06-24,Sri Lanka CB Governor won’t seek reappointment until probe over
685,2016-06-23,"Asia stocks, sterling rise as Brexit anxiety abates"
686,2016-06-22,"Oil prices above USD50, buoyed by U.S. stock draw"
687,2016-06-22,"Opportunities for value investors, rate hikes limited: JB Securities"
688,2016-06-22,Sri Lankan rupee 1-wk forwards fall on importer dollar demand; stocks slip
689,2016-06-21,"Sri Lanka’s debt higher than B, BB rated countries, Fitch data shows"
690,2016-06-21,"Asia shares pause, sterling stands tall as Brexit vote looms"
691,2016-06-20,Sri Lankan rupee 1-wk forwards weaker on importer dlr demand
692,2016-06-20,"Asia stocks gain as Brexit fears ebb slightly, pound surges"
693,2016-06-17,"Asian shares face weekly losses, sterling rebounds in Brexit turmoil"
694,2016-06-16,Sri Lanka CDS to introduce electronic voting and IPO facility this year
695,2016-06-16,"Global treasuries plunge on Brexit, safe haven demand"
696,2016-06-15,"Sri Lanka promises to reform Airline, public sector, fuel pricing to IMF"
697,2016-06-15,"China’s yuan hits weakest in more than 5 yrs after PBOC fix, MSCI disappointment"
698,2016-06-14,"Oil futures fall as global growth, Brexit concerns weigh"
699,2016-06-13,"Bitcoin hits 2-year high, now 684.78 on Chinese buying"
700,2016-06-13,Brexit vote won’t favor risk assets: Gross
701,2016-06-13,"Asian shares and sterling skid, yen firms"
702,2016-06-08,"Asian shares at near six week high on oil, Fed expectations"
703,2016-06-07,Asia stocks hit 5-week high after cautious Yellen
704,2016-06-06,"Asian shares rise, dollar nurses losses after jobs shock"
705,2016-06-04,IMF approves 36-month EFF facility of USD1.5 Bln to Sri Lanka
706,2016-06-03,"Ethics crucial to business, says SEC Chairman Karunaratne"
707,2016-05-27,"SL Funds: Equity Unit Trusts now outperform market, says Guardian Acuity"
708,2016-05-26,Possible misappropriation of Rights Issue funds in Blue Diamonds: E&Y
709,2016-05-26,"Sri Lanka’s John Keells Holdings net down 13-pct in 4Q, revenues flat"
710,2016-05-25,Sri Lanka’s Hayleys net up 49-pct in March 2016 quarter
711,2016-05-24,Sri Lanka’s John Keells Holdings to subdivide ordinary shares
712,2016-05-19,Ravi K says Japan agrees USD2.5bn development loan to Sri Lanka
713,2016-05-17,Sri Lanka’s Hayleys to raise Rs2bn in listed debt
714,2016-05-13,Equity crowdfunding soon for average investors in US
715,2016-05-09,SEC imposes restrictions on Entrust Capital Markets activities
716,2016-05-04,Sri Lanka to raise USD500 mln through syndicated loan: Governor
717,2016-05-04,Chevron plans to expand local and regional presence
718,2016-05-04,CSE to change methodology to calculate price multiples
719,2016-04-26,"Sri Lanka budget deficit climbs, economy at USD82.3 billion"
720,2016-04-26,Sri Lanka holds rates unchanged after policy meeting
721,2016-04-18,Central Bank sees monetary policy stance as appropriate
722,2016-04-12,"Sri Lanka economy adjusting, may receive USD1-1.25 bln from IMF: CB"
723,2016-04-11,Ceylon Dollar Bond Fund records 8.82 percent dollar return
724,2016-04-07,Sri Lanka to sign MOU with China to enhance market liquidity
725,2016-04-07,We don’t want to see companies getting delisted: Securities Regulator
726,2016-04-06,S&P and CSE Sector and Industry Group Indices launched
727,2016-04-04,SEC to engage listed companies on Minimum Public Float
728,2016-03-30,Sri Lanka plans to issue up to USD3 bln in international sovereign bonds
729,2016-03-29,Sri Lanka rates held unchanged after monetary policy meeting
730,2016-03-29,CSE seeks foreign listings on proposed dollar denominated Board
731,2016-03-24,Prime Minister orders an investigation into CSE power failure
732,2016-03-23,Markets mixed after deadly attacks in Brussels
733,2016-03-21,CSE Wins Global HR Excellence Award
734,2016-03-18,"Investment Summit: Sri Lanka bonds attractive in Asia, say officials"
735,2016-03-16,Sri Lanka foreign reserves at USD6.6bn; IMF support by mid 2016
736,2016-03-12,Sri Lanka Investment Summit to kick off in Singapore
737,2016-03-10,Sri Lanka stocks close up 1.5-pct; Continued  foreign in-flow
738,2016-03-09,"Sri Lanka stocks close down 1.2-pct, foreign inflow 602 mln rupees "
739,2016-03-08,Sri Lanka stocks close down 2-pct at near two year low
740,2016-03-04,Sri Lanka stocks close lower 0.06-pct
741,2016-03-04,"Sri Lanka exports, imports declines; trade gap widens in December 2015"
742,2016-03-03,Sri Lanka’s stock exchange launches educational web portal
743,2016-03-02,Singer Sri Lanka to raise Rs2bn in listed debt
744,2016-02-29,"Popular international stocks take a beating, say analysts"
745,2016-02-29,Investrust says its money market fund outperformed in 2015
746,2016-02-29,Sri Lanka to go to markets after IMF meetings
747,2016-02-26,Capital gains tax may kill stock market: Ravi Abeysuriya
748,2016-02-26,"Sri Lanka no longer a poor country, discussions with IMF constructive: CB Governor"
749,2016-02-25,Sri Lanka wants to maintain rates at current levels: CB Governor
750,2016-02-25,SEC reconsiders minimum public float rule: CSE
751,2016-02-25,Emerging markets offer long-term opportunity: Research Affiliates
752,2016-02-24,Sri Lanka stocks down 0.2-pct 
753,2016-02-19,Sri Lanka stocks up 0.7-pct
754,2016-02-18,Sri Lanka’s Orient Finance IPO backed by Janashakthi  
755,2016-02-18,Crowdfunding platform Crowdisland.lk launched for Sri Lankan start ups
756,2016-02-17,Sri Lanka stocks close down 0.5-pct
757,2016-02-17,Norges Bank increases shareholding in Dialog Axiata
758,2016-02-16,Sri Lanka stocks close down 0.2-pct
759,2016-02-16,New capital adequacy requirements for stockbrokers: CSE
760,2016-02-16,"Global stocks rebound, eyes on Saudi, Russia Oil meeting"
761,2016-02-15,Sri Lanka stocks close down 0.3-pct; Continued foreign outflow
762,2016-02-15,China stocks open lower with equities in bear market
763,2016-02-11,Sri Lanka CSE calls proposals for CCP suppliers   
764,2016-02-09,"Nikkei falls 5 pct on negative interest rates, global growth"
765,2016-02-05,IMF urges Sri Lanka govt to narrow fiscal deficit
766,2016-02-05,Colombo Stock Exchange CDS partners with LankaPay
767,2016-01-29,Sri Lanka stocks close up 0.3-pct; Low investor activity
768,2016-01-28,Sri Lanka stocks close higher 0.05-pct
769,2016-01-26,Sri Lanka stocks closed down 0.5-pct
770,2016-01-26,Orient Finance IPO raises Rs987 mln on opening day
771,2016-01-25,Sri Lanka Monetary Board holds key rates unchanged
772,2016-01-25,Sri Lanka stocks closed down 0.4-pct; Turnover at near 4 week low
773,2016-01-21,Sri Lanka stocks closed up 1.6-pct
